iter	Passed	Remaining
0	4	4728
1	9	4869
2	13	4540
3	17	4395
4	21	4367
5	26	4324
6	29	4214
7	33	4138
8	37	4075
9	40	4022
10	44	3992
11	48	3963
12	51	3944
13	56	3946
14	59	3939
15	63	3934
16	67	3910
17	71	3900
18	75	3895
19	79	3884
20	83	3882
21	87	3868
22	90	3862
23	94	3848
24	98	3837
25	102	3831
26	106	3821
27	109	3802
28	113	3800
29	117	3789
30	120	3781
31	124	3767
32	128	3763
33	132	3754
34	135	3744
35	140	3758
36	144	3754
37	147	3743
38	151	3735
39	155	3730
40	159	3720
41	162	3709
42	166	3704
43	170	3697
44	174	3704
45	178	3696
46	181	3689
47	185	3684
48	189	3677
49	193	3678
50	197	3670
51	201	3666
52	204	3658
53	208	3651
54	212	3643
55	215	3639
56	219	3635
57	223	3630
58	227	3626
59	230	3615
60	234	3611
61	238	3605
62	242	3599
63	245	3596
64	249	3592
65	253	3585
66	257	3579
67	260	3575
68	264	3569
69	268	3564
70	271	3558
71	275	3553
72	279	3547
73	283	3542
74	287	3540
75	291	3538
76	294	3534
77	298	3529
78	302	3526
79	306	3522
80	309	3515
81	313	3510
82	317	3509
83	321	3506
84	325	3503
85	329	3502
86	333	3499
87	337	3496
88	340	3490
89	344	3483
90	348	3481
91	352	3481
92	356	3476
93	360	3470
94	363	3465
95	367	3460
96	371	3454
97	374	3450
98	378	3445
99	382	3439
100	385	3434
101	390	3434
102	394	3431
103	397	3426
104	401	3422
105	405	3417
106	408	3413
107	412	3407
108	416	3402
109	420	3399
110	423	3393
111	427	3389
112	431	3384
113	434	3379
114	438	3374
115	442	3371
116	446	3368
117	450	3369
118	454	3367
119	458	3363
120	462	3358
121	466	3355
122	470	3353
123	474	3349
124	477	3345
125	482	3347
126	486	3343
127	490	3339
128	494	3335
129	497	3330
130	501	3326
131	505	3321
132	508	3316
133	512	3311
134	516	3306
135	519	3303
136	523	3298
137	527	3293
138	529	3281
139	533	3277
140	537	3274
141	541	3269
142	545	3267
143	548	3263
144	552	3259
145	556	3254
146	560	3250
147	563	3246
148	567	3242
149	571	3237
150	575	3235
151	579	3230
152	583	3227
153	586	3223
154	590	3220
155	594	3215
156	598	3211
157	602	3208
158	605	3204
159	609	3201
160	613	3197
161	618	3196
162	621	3192
163	625	3188
164	629	3184
165	635	3192
166	639	3189
167	643	3186
168	646	3181
169	650	3177
170	654	3173
171	658	3169
172	662	3165
173	665	3160
174	669	3154
175	673	3151
176	676	3147
177	681	3146
178	685	3142
179	688	3137
180	692	3133
181	696	3129
182	699	3124
183	703	3120
184	707	3116
185	711	3112
186	714	3107
187	718	3103
188	722	3099
189	726	3095
190	729	3091
191	733	3088
192	737	3084
193	741	3079
194	745	3075
195	748	3071
196	752	3068
197	756	3064
198	760	3061
199	764	3056
200	768	3053
201	772	3050
202	775	3046
203	779	3042
204	783	3039
205	787	3034
206	791	3031
207	794	3027
208	798	3022
209	802	3018
210	805	3013
211	809	3009
212	813	3005
213	817	3001
214	820	2997
215	824	2993
216	828	2990
217	832	2985
218	836	2981
219	840	2978
220	843	2974
221	847	2970
222	851	2966
223	855	2962
224	858	2957
225	862	2953
226	865	2948
227	869	2944
228	873	2942
229	877	2938
230	881	2934
231	885	2930
232	889	2927
233	893	2926
234	897	2921
235	901	2918
236	905	2913
237	908	2909
238	912	2905
239	916	2901
240	919	2896
241	923	2892
242	927	2888
243	930	2884
244	934	2879
245	938	2875
246	941	2871
247	946	2870
248	950	2866
249	954	2862
250	957	2858
251	961	2854
252	965	2850
253	969	2846
254	972	2842
255	976	2838
256	980	2833
257	984	2830
258	988	2827
259	991	2823
260	995	2819
261	999	2814
262	1002	2810
263	1006	2806
264	1010	2803
265	1014	2798
266	1018	2794
267	1021	2791
268	1025	2787
269	1029	2784
270	1033	2780
271	1038	2778
272	1049	2794
273	1066	2826
274	1074	2832
275	1083	2841
276	1089	2842
277	1099	2854
278	1103	2850
279	1106	2846
280	1110	2842
281	1114	2837
282	1118	2834
283	1122	2830
284	1126	2826
285	1130	2821
286	1133	2816
287	1137	2811
288	1141	2807
289	1145	2805
290	1149	2801
291	1153	2796
292	1157	2791
293	1160	2787
294	1164	2783
295	1168	2778
296	1172	2775
297	1176	2770
298	1180	2766
299	1184	2762
300	1188	2759
301	1192	2755
302	1196	2751
303	1199	2747
304	1203	2742
305	1207	2738
306	1210	2733
307	1214	2729
308	1218	2724
309	1222	2720
310	1225	2716
311	1229	2711
312	1233	2707
313	1237	2703
314	1241	2698
315	1245	2695
316	1248	2690
317	1252	2686
318	1256	2682
319	1260	2678
320	1264	2673
321	1267	2669
322	1271	2665
323	1275	2661
324	1279	2657
325	1283	2652
326	1286	2648
327	1291	2645
328	1294	2640
329	1298	2636
330	1302	2632
331	1306	2628
332	1310	2624
333	1314	2620
334	1318	2616
335	1321	2612
336	1325	2608
337	1329	2604
338	1333	2600
339	1337	2595
340	1341	2591
341	1345	2587
342	1348	2583
343	1352	2579
344	1355	2574
345	1359	2569
346	1363	2565
347	1366	2560
348	1370	2556
349	1374	2552
350	1378	2548
351	1382	2545
352	1386	2540
353	1389	2536
354	1393	2531
355	1397	2527
356	1401	2523
357	1405	2519
358	1408	2515
359	1412	2511
360	1416	2507
361	1420	2503
362	1424	2499
363	1426	2492
364	1430	2488
365	1434	2484
366	1437	2479
367	1441	2475
368	1445	2471
369	1449	2467
370	1453	2464
371	1457	2460
372	1461	2456
373	1464	2451
374	1468	2447
375	1472	2443
376	1476	2439
377	1480	2436
378	1483	2431
379	1487	2427
380	1491	2423
381	1495	2419
382	1498	2414
383	1502	2410
384	1506	2406
385	1510	2402
386	1514	2398
387	1518	2394
388	1521	2390
389	1525	2386
390	1529	2382
391	1533	2378
392	1537	2374
393	1539	2367
394	1542	2363
395	1546	2359
396	1550	2354
397	1554	2350
398	1558	2346
399	1562	2343
400	1565	2339
401	1569	2335
402	1573	2331
403	1577	2327
404	1581	2323
405	1585	2319
406	1589	2315
407	1593	2311
408	1596	2307
409	1601	2303
410	1604	2299
411	1608	2295
412	1612	2291
413	1616	2287
414	1620	2283
415	1623	2279
416	1627	2275
417	1631	2271
418	1635	2267
419	1637	2261
420	1641	2257
421	1645	2253
422	1649	2249
423	1652	2245
424	1656	2241
425	1660	2237
426	1664	2233
427	1668	2229
428	1671	2225
429	1675	2221
430	1679	2216
431	1683	2212
432	1686	2208
433	1690	2205
434	1694	2200
435	1698	2196
436	1701	2192
437	1705	2188
438	1709	2184
439	1712	2180
440	1716	2175
441	1720	2171
442	1724	2167
443	1727	2163
444	1731	2159
445	1736	2156
446	1740	2152
447	1744	2149
448	1747	2144
449	1751	2141
450	1755	2137
451	1759	2132
452	1763	2128
453	1766	2124
454	1770	2120
455	1773	2115
456	1776	2111
457	1780	2106
458	1784	2102
459	1787	2098
460	1791	2094
461	1795	2090
462	1799	2086
463	1803	2082
464	1806	2078
465	1810	2075
466	1814	2070
467	1818	2066
468	1819	2060
469	1823	2055
470	1827	2051
471	1831	2049
472	1835	2044
473	1839	2041
474	1843	2037
475	1846	2033
476	1850	2029
477	1854	2025
478	1858	2021
479	1862	2017
480	1865	2013
481	1869	2009
482	1873	2005
483	1876	2000
484	1881	1997
485	1885	1993
486	1888	1989
487	1892	1985
488	1896	1981
489	1900	1977
490	1903	1973
491	1907	1969
492	1911	1965
493	1915	1961
494	1919	1958
495	1923	1954
496	1927	1950
497	1930	1946
498	1934	1942
499	1938	1938
500	1942	1934
501	1946	1930
502	1949	1926
503	1953	1922
504	1954	1915
505	1958	1911
506	1962	1908
507	1965	1903
508	1969	1899
509	1973	1896
510	1977	1891
511	1980	1887
512	1984	1883
513	1988	1879
514	1991	1875
515	1995	1871
516	1998	1867
517	2002	1863
518	2005	1858
519	2009	1854
520	2012	1850
521	2016	1846
522	2020	1842
523	2024	1838
524	2028	1834
525	2031	1831
526	2035	1827
527	2039	1823
528	2043	1819
529	2046	1815
530	2050	1811
531	2054	1807
532	2057	1803
533	2061	1799
534	2065	1795
535	2068	1791
536	2072	1787
537	2076	1783
538	2079	1778
539	2083	1774
540	2087	1770
541	2090	1766
542	2094	1762
543	2098	1758
544	2102	1754
545	2105	1750
546	2109	1746
547	2113	1742
548	2116	1738
549	2120	1735
550	2124	1730
551	2127	1727
552	2131	1723
553	2135	1719
554	2139	1715
555	2142	1711
556	2146	1707
